"kode";"jenis";"nama"
"1102072008";"Kelurahan/Desa";"Tanjung Lama"
"1102072009";"Kelurahan/Desa";"Tanjung Muda"
"1102072010";"Kelurahan/Desa";"Rambung Teldak"
"1102072011";"Kelurahan/Desa";"Tanjung Aman"
"1102072012";"Kelurahan/Desa";"Sri Muda"
"1102072013";"Kelurahan/Desa";"Ujung Baru"
"1102072014";"Kelurahan/Desa";"Kute Rambe"
"1102072015";"Kelurahan/Desa";"Mamas Baru"
"1102072016";"Kelurahan/Desa";"Rambung Jaya"
"1102072017";"Kelurahan/Desa";"Makmur Jaya"
"1102072018";"Kelurahan/Desa";"Darul Makmur"
"1102072019";"Kelurahan/Desa";"Tanjung Bakhu"
"1102072020";"Kelurahan/Desa";"Pulo Gabung"
"1102072021";"Kelurahan/Desa";"Kokhtan Jaya"
"1102072022";"Kelurahan/Desa";"Istiqamah"
"1102072023";"Kelurahan/Desa";"Lawe Mamas Indah"
"1102072024";"Kelurahan/Desa";"Tanjung Leuser"
"1102072025";"Kelurahan/Desa";"Simpang IV Tanjung"
"1102072026";"Kelurahan/Desa";"Lawe Pinis"
"1102072027";"Kelurahan/Desa";"Buntul Kendawi"
"1102072028";"Kelurahan/Desa";"Kuning Abadi"
"1102080000";"Kecamatan";"Lawe Bulan"
"1102082001";"Kelurahan/Desa";"Pasir Gala"
"1102082002";"Kelurahan/Desa";"Pasir Penjengakan"
"1102082003";"Kelurahan/Desa";"Kutambaru"
"1102082004";"Kelurahan/Desa";"Lawe Sagu Hulu"
"1102082005";"Kelurahan/Desa";"Lawe Sagu Hilir"
"1102082006";"Kelurahan/Desa";"Kute Bantil"
"1102082011";"Kelurahan/Desa";"Lawe Kolok"
"1102082012";"Kelurahan/Desa";"Lawe Rutung"
